,hv010,hv011,hv012,hv014,hv216
1145,1,0,4,1,3
1146,2,0,7,0,5
1147,1,3,6,0,3
1148,1,1,6,2,5
1149,1,0,3,1,1
1150,0,1,1,0,1
1151,1,1,6,1,2
1152,2,0,3,0,2
1153,1,1,4,2,2
1154,4,0,11,2,3
1155,3,0,10,1,5
1156,4,0,8,1,4
1157,4,0,10,2,3
1158,1,0,3,0,1
1159,1,0,4,1,2
1160,0,0,2,0,1
1161,2,2,7,1,1
1162,0,1,1,0,1
1163,3,1,9,2,5
1164,0,0,1,0,1
1165,1,0,5,0,4
1166,2,0,5,1,2
1167,1,0,3,0,2
1168,1,3,8,1,3
1169,3,2,6,0,2
1170,0,2,3,0,2
1171,1,0,4,1,3
1172,1,0,3,0,2
1173,0,0,3,0,1
1174,0,0,4,1,4
1175,1,0,4,0,3
1176,1,1,4,1,2
1177,2,0,6,1,4
1178,1,0,4,1,2
1179,1,0,6,1,3
1180,0,1,1,0,1
1181,2,0,8,3,4
1182,1,0,5,2,3
1183,0,0,4,0,3
1184,2,0,3,0,3
1185,4,0,6,1,2
1186,0,0,2,0,2
1187,1,1,3,0,2
1188,0,0,1,0,1
1189,1,0,3,0,2
1190,0,0,3,0,3
1191,1,0,2,0,1
1192,2,1,6,1,3
1193,1,1,6,3,2
1194,1,1,5,2,2
1195,1,2,6,1,3
1196,1,0,4,1,2
1197,2,0,9,1,4
1198,1,1,2,0,1
1199,1,0,7,2,2
1200,1,0,6,1,3
1201,2,2,7,0,3
1202,1,0,5,0,3
1203,1,0,2,0,4
1204,1,0,2,0,2
1205,1,0,3,0,2
1206,3,1,17,6,5
1207,0,0,6,1,4
1208,1,1,6,2,3
1209,0,0,3,1,1
1210,1,0,5,2,2
1211,2,1,8,1,5
1212,3,0,9,3,3
1213,1,0,6,2,2
1214,1,1,6,2,2
1215,0,3,9,1,3
1216,0,0,1,0,1
1217,0,0,4,0,2
1218,4,3,11,0,5
1219,1,0,3,1,1
1220,1,0,2,1,1
1221,0,1,1,0,1
1222,1,0,3,0,2
1223,1,0,4,1,1
1224,3,3,11,4,6
1225,1,0,4,0,2
1226,2,1,6,1,2
1227,0,0,5,2,4
1228,0,0,2,0,1
1229,2,0,9,3,2
1230,1,1,2,0,2
1231,0,1,2,0,2
1232,1,2,5,2,2
1233,2,0,6,1,3
1234,2,2,7,1,6
1235,0,1,4,1,1
1236,0,0,1,0,1
1237,2,3,8,1,5
1238,0,1,3,0,2
1239,1,2,7,1,3
1240,1,1,4,0,2
1241,3,6,14,2,7
1242,1,0,4,1,2
1243,1,0,4,2,2
1244,1,0,2,0,1
1245,1,0,7,0,4
1246,1,0,4,1,2
1247,2,0,7,2,3
1248,2,1,7,1,3
1249,1,0,6,2,3
1250,1,1,4,1,3
1251,1,1,4,2,2
1252,1,0,6,2,3
1253,0,2,3,0,2
1254,2,0,2,0,2
1255,2,0,4,0,4
1256,0,1,1,0,1
1257,1,3,8,0,4
1258,0,0,1,0,1
1259,2,0,7,2,2
1260,2,1,8,1,5
1261,4,5,14,5,5
1262,2,0,6,0,2
1263,1,0,5,1,2
1264,1,0,4,0,2
1265,2,4,8,2,4
1266,1,0,2,1,3
1267,3,1,13,3,4
1268,3,0,9,2,5
1269,1,1,5,0,2
1270,1,0,10,3,4
1271,1,0,7,2,2
1272,2,0,14,2,2
1273,1,1,4,2,1
1274,0,0,6,0,2
1275,2,0,11,1,3
1276,3,0,4,0,1
1277,2,1,5,0,4
1278,1,0,4,0,2
1279,1,1,6,1,3
1280,1,1,5,1,2
1281,1,0,6,1,2
1282,1,0,5,2,3
1283,0,1,7,0,3
1284,1,0,4,2,2
1285,2,1,7,1,3
1286,0,0,1,0,1
1287,0,0,7,0,3
1288,0,1,2,0,1
1289,0,0,6,1,2
1290,2,0,12,0,4
1291,2,1,4,1,2
1292,1,0,4,0,2
1293,0,0,4,1,1
1294,2,0,6,1,2
1295,2,2,5,0,4
1296,1,1,8,1,7
1297,1,1,5,1,2
1298,2,1,4,1,6
1299,1,1,5,2,2
1300,0,0,4,0,2
1301,4,1,9,2,8
1302,0,0,2,0,2
1303,0,0,2,0,1
1304,1,0,12,4,5
1305,0,0,3,0,2
1306,1,0,4,0,2
1307,0,0,4,0,2
1308,1,0,3,1,1
1309,1,0,3,1,1
1310,0,0,2,0,1
1311,0,0,5,0,3
1312,1,0,6,2,2
1313,0,1,3,0,2
1314,1,1,7,0,3
1315,2,0,6,2,2
1316,1,1,5,2,1
1317,1,0,2,1,1
1318,1,1,6,2,4
1319,2,1,6,2,3
1320,3,1,8,1,3
1321,1,3,14,3,4
1322,1,2,6,0,4
1323,3,1,9,2,3
1324,1,1,4,2,1
1325,0,0,3,0,3
1326,1,1,4,1,1
1327,1,1,5,1,1
1328,1,1,5,1,3
1329,1,0,4,2,1
1330,1,4,7,0,9
1331,0,1,1,0,1
1332,0,1,1,0,1
1333,1,2,6,1,4
1334,2,1,10,2,5
1335,0,0,6,1,4
1336,2,1,6,1,4
1337,3,0,6,1,2
1338,1,1,4,1,2
