,hv010,hv011,hv012,hv014,hv216
264,1,0,5,1,3
265,1,0,6,1,3
266,3,5,9,1,3
267,2,0,4,0,3
268,0,0,1,0,1
269,2,1,5,1,2
270,1,0,9,2,4
271,0,0,5,0,3
272,0,0,6,0,2
273,2,0,12,3,6
274,1,1,5,0,3
275,1,1,7,1,1
276,1,1,6,1,2
277,3,1,5,1,3
278,0,0,4,0,2
279,1,0,10,0,5
280,2,3,7,0,4
281,1,1,4,0,2
282,1,1,5,1,3
283,1,0,6,1,3
284,1,0,5,1,2
285,3,1,9,2,3
286,6,0,11,3,3
287,0,1,3,0,1
288,1,0,7,3,3
289,1,1,6,0,3
290,2,0,6,0,2
291,1,0,3,1,3
292,1,0,4,1,2
293,2,1,8,2,4
294,0,0,4,0,3
295,1,0,2,0,2
296,2,0,6,2,2
297,3,1,7,1,2
298,0,2,3,0,1
299,1,1,3,0,3
300,2,2,8,1,3
301,1,1,4,2,1
302,0,0,2,0,1
303,1,0,3,0,3
304,0,0,5,0,2
305,2,2,10,1,5
306,1,0,4,0,3
307,4,1,12,2,4
308,1,0,4,1,2
309,3,1,5,1,2
310,2,0,8,2,3
311,1,1,4,1,2
312,0,0,1,0,1
313,1,0,3,0,2
314,1,1,3,1,1
315,0,0,6,0,2
316,3,0,7,0,3
317,2,0,9,2,3
318,1,0,3,0,2
319,1,1,4,2,2
320,3,0,10,1,5
321,1,0,5,0,3
322,1,0,5,0,2
323,1,1,5,1,3
324,2,0,4,0,1
325,3,3,8,1,3
326,2,0,2,0,1
327,0,2,4,0,2
328,0,0,1,0,1
329,1,0,1,0,1
330,1,0,8,2,2
331,1,0,4,1,7
332,0,0,3,0,2
333,0,0,2,0,1
334,1,3,7,1,4
335,3,0,10,2,4
336,1,1,5,1,2
337,1,0,8,2,3
338,0,0,5,0,3
339,0,0,4,0,4
340,1,0,5,2,2
341,1,0,5,2,3
342,1,0,4,1,1
343,1,1,5,1,2
344,1,1,4,2,4
345,1,1,5,1,2
346,1,0,5,1,5
347,1,1,3,1,1
348,0,1,1,0,1
349,1,1,3,1,1
350,0,1,5,1,3
351,2,1,6,0,1
352,1,0,8,1,3
353,3,0,14,2,4
354,0,0,2,0,1
355,1,0,4,1,2
356,1,1,4,1,4
357,1,0,6,2,1
358,0,1,7,1,3
359,4,0,17,2,8
360,1,0,2,0,1
361,1,1,3,1,1
362,3,0,13,2,5
363,1,0,4,1,1
364,0,0,4,1,3
365,1,0,6,2,2
366,0,2,8,0,2
367,1,1,4,0,3
368,1,0,4,1,1
369,1,0,4,0,1
370,2,1,4,0,2
371,2,0,7,2,6
372,0,1,1,0,1
373,1,1,6,2,1
374,3,1,11,1,3
375,2,0,8,2,3
376,3,0,8,2,4
377,0,0,5,0,3
378,2,1,6,1,3
379,3,0,9,4,3
380,1,1,4,1,2
381,1,0,3,0,2
382,1,2,5,0,6
383,1,0,5,2,2
384,1,0,3,1,1
385,2,1,5,1,2
386,2,0,7,0,4
387,2,2,13,2,5
388,1,0,5,1,2
389,1,0,4,0,4
390,1,0,4,0,2
391,0,0,2,0,2
392,1,0,4,0,2
393,0,2,2,0,1
394,1,0,3,0,2
395,4,0,12,1,6
396,1,0,4,1,2
397,2,1,9,3,3
398,3,0,5,0,3
399,5,0,15,5,5
400,3,1,12,7,3
401,1,0,5,0,3
402,1,0,4,0,1
403,1,0,6,2,2
404,3,1,11,4,6
405,1,0,9,1,5
406,2,1,2,0,2
407,2,0,7,0,2
408,1,0,9,1,3
409,3,0,9,2,5
410,2,0,7,0,4
411,1,0,5,1,1
412,1,1,5,3,1
413,2,0,9,1,4
414,3,1,11,3,5
415,1,0,3,2,1
416,0,1,1,0,1
417,1,0,8,2,5
418,0,0,3,0,2
419,1,0,6,1,3
420,1,2,5,2,3
421,1,1,5,1,2
422,1,1,2,0,4
423,3,3,8,2,4
424,0,1,6,1,3
425,1,2,5,0,3
426,1,0,5,2,3
427,0,1,1,0,4
428,1,1,5,1,2
429,0,0,5,0,6
430,0,0,2,0,2
431,1,0,4,2,1
432,0,0,2,0,1
433,2,0,7,2,2
434,1,0,5,0,3
435,2,1,9,2,4
436,6,4,21,7,7
437,1,1,9,2,3
438,1,0,3,1,3
439,0,0,1,0,1
440,0,2,6,3,2
441,1,1,5,1,2
442,0,0,6,1,2
443,1,1,4,1,3
444,1,1,7,1,3
445,1,0,2,0,1
446,1,2,7,0,3
447,0,2,3,0,3
448,1,1,4,2,1
449,2,0,5,0,3
450,0,0,5,1,3
451,1,0,2,1,1
452,0,0,3,0,3
453,1,0,4,0,3
454,0,0,2,0,1
455,1,1,3,1,1
456,1,1,7,2,4
457,0,1,1,0,1
458,1,1,8,2,2
459,1,0,7,2,3
460,0,1,2,0,2
461,0,0,6,0,4
462,1,0,5,1,5
463,1,0,1,0,1
464,2,0,7,1,3
465,0,1,1,0,3
466,1,0,5,0,3
467,1,3,4,0,2
468,2,0,6,1,2
469,4,0,10,0,10
470,0,0,1,0,2
471,4,0,7,0,4
472,1,0,3,0,2
473,3,1,7,0,3
474,0,0,5,1,2
475,2,0,5,1,3
476,1,1,5,1,3
477,1,0,3,1,2
478,1,0,6,1,6
479,1,0,4,2,3
480,0,1,1,0,3
481,1,1,5,2,2
482,2,0,5,0,4
483,1,0,7,1,2
484,1,1,4,2,1
485,1,1,4,1,2
486,2,0,9,2,2
487,1,0,4,2,1
488,2,0,5,1,3
489,1,1,4,2,3
490,4,1,12,4,4
491,1,1,2,0,1
492,1,1,3,1,1
493,1,0,5,2,2
494,1,1,5,2,2
495,0,0,5,1,4
496,1,0,6,1,2
497,1,0,3,1,2
498,0,2,5,0,5
499,1,0,4,0,3
500,3,0,10,4,5
501,2,0,12,4,4
502,0,0,1,0,1
503,0,1,2,0,2
504,3,3,11,3,4
505,2,0,6,1,3
506,1,1,3,1,2
507,0,3,5,2,2
508,1,0,4,1,2
509,1,0,5,1,2
510,1,1,5,0,2
511,1,0,4,2,1
512,1,2,8,2,4
513,0,0,3,0,2
514,1,1,2,0,1
515,1,0,3,1,2
516,1,0,4,1,3
517,0,0,3,0,2
518,1,0,7,0,5
519,2,0,12,2,4
520,0,0,1,0,1
521,0,0,2,0,2
522,2,1,4,0,2
523,0,1,6,0,3
524,1,0,3,0,2
525,2,3,6,0,5
526,3,1,8,1,4
527,0,0,3,0,2
528,1,0,2,0,2
529,0,0,2,0,1
530,0,1,5,0,5
531,1,1,3,1,1
532,4,2,13,6,5
533,2,0,8,2,2
534,3,1,5,0,2
535,2,1,5,0,3
536,2,0,10,2,4
537,2,0,11,4,5
538,1,1,4,0,2
539,1,1,5,2,1
540,3,1,8,1,3
541,2,0,5,1,1
542,0,0,3,1,2
543,0,0,1,0,1
544,2,0,4,0,2
545,1,0,4,2,1
546,4,0,5,0,2
547,2,1,5,1,4
548,1,0,6,3,3
549,1,0,6,0,3
550,4,2,2,0,4
551,0,0,6,2,4
552,1,1,5,1,2
553,1,0,5,0,2
554,2,0,8,2,5
555,5,0,6,0,2
556,3,0,11,1,6
557,1,0,9,1,4
558,1,0,5,1,1
